id_column,Tweet,Label Matt,Label Elena
0,I love you virat kohli Im big big fan 😘 missing you virat . ,appreciation%1:10:00::,love%1:12:00::
1,I love you so much I subscribed and hit the like button and followed you on twitter and I love you . 😘 ,love%1:12:00::,love%1:12:00::
2,Im so happy for you 😘 just want you to know there are so many of us . ,love%1:12:00::,love%1:12:00::
3,Always knows how I feel and knows what to say when its time . My ride or die for life . 😘 ,love%1:12:00::,love%1:12:00::
4,Any more books coming David ? My nephew has them all so far and loves reading them thanks . 😘 ,appreciation%1:10:00::,appreciation%1:10:00::
5,Are you nervous or excited about singing SOS Live for the first time on Ellen ? 😘 ,admire%2:39:00::,admire%2:39:00::
6,Be a gem and do a question and answer for the fans because we dont get videos much anymore . 😘 ,admire%2:39:00::,love%1:12:00::
7,Can I have a code? I didnt get it yet and all my boys have it . 😘 ,flirt%1:04:00::,appreciation%1:10:00::
8,First ever blockscreening . Thank you everyone for showing your support to The Hows of Us . 😘 ,appreciation%1:10:00::,appreciation%1:10:00::
9,Free Hats . Thanks so much.  Had to move tables and they were awesome to offer these hats . 😘     ,appreciation%1:10:00::,appreciation%1:10:00::
10,Happy birthday Lia ! Hope its been a good one . 😘  xx,love%1:12:00::,love%1:12:00::
11,Happy birthday ! Hope you have a great day pretty girl . 😘 ,appreciation%1:10:00::,love%1:12:00::
12,"Have you seen Bong Appetit ? ! If not , you and Nate need tooo ! ! ! Thank me later baby . 😘 ",NONE,flirt%1:04:00::
13,Hey Daria ! Whats up ? Possible to follow me please ? I have something to ask you . Kisses from France . 😘 ,kiss%1:04:00::,kiss%1:04:00::
14,"I hope everything is well , my queen . Just reminding you I still love you . 😘 ",love%1:12:00::,love%1:12:00::
15,I just want you to know I fucking love you and your chain . 😘 ,love%1:12:00::,love%1:12:00::
16,I need a manicure and my nails painted . Hint hint . 😘 ,flirt%1:04:00::,flirt%1:04:00::
17,Is like watching a rainbow ! A piece of sunshine while its raining ! I like you a lot ! 😘  ,flirt%1:04:00::,flirt%1:04:00::
18,Just caught up on your interview ! ! Well done must of been extremely hard for you . 😘 ,admire%2:39:00::,admire%2:39:00::
19,Happy birthday . Wish you all the best . Yieee . 😘 I hope you will see this . ,love%1:12:00::,love%1:12:00::
20,Thanks so much for RT . 😘 I hope that your day is going well !,appreciation%1:10:00::,appreciation%1:10:00::
21,You are so talented and pretty . I hope you make it far . 😘 ,flirt%1:04:00::,love%1:12:00::
22,"By all these lovely tokens September days are here , with summers best of weather and autumns best of cheer . 😘",admire%2:39:00::,admire%2:39:00::
23,My Birthday Face . 😘  Virgo virgo season september 3rd at Borgata Hotel Casino & Spa . ,NONE,love%1:12:00::
24,COC food today . 😘 Thank you for coming ! See you tomorrow for Mosutlhwane .,appreciation%1:10:00::,appreciation%1:10:00::
25,Labor On Labor Day ? Well if you can call taking calls from my sexy friends labor . 😘  Phone lines will be on soon.,flirt%1:04:00::,flirt%1:04:00::
26,"They might not be my husband , but they are amazing men that put a smile on my face daily ! ! Thanks boys . 😘 ",flirt%1:04:00::,appreciation%1:10:00::
27,Not fucking telling you kidding . 😘 Who else would it be ? ! ,flirt%1:04:00::,flirt%1:04:00::
28,Imposible mauricasts love you gracias . 😘 Holy Cow Burger & Beer Joint . ,love%1:12:00::,love%1:12:00::
29,Repost Life without a mirror . Thoughts ? 😘  ,kiss%1:04:00::,kiss%1:04:00::
30,Repost .... Be still and know that he is God ! I Do Standing By Faith Happy Labor Day Monday Vibes . 😘  ,love%1:12:00::,love%1:12:00::
31,Selfies rank this girl out of 10 . Add to Snapchat Blush Snaps . 😘  ,admire%2:39:00::,admire%2:39:00::
32,Looking for more banter interactions . Dont hesitate to approach . 😘 ,flirt%1:04:00::,flirt%1:04:00::
33,Beautiful badasses in and out of uniform 41 Photos . ,flirt%1:04:00::,admire%2:39:00::
34,Burn your bra and join the revolution ! 52 Photos . ,appreciation%1:10:00::,love%1:12:00::
35,Connect with on their Official Twitter BTSs Personal Account . ,love%1:12:00::,love%1:12:00::
36,"😘  Daniela Lopez Osorio ,  pretty name , prettier girl 25 Photos . ",flirt%1:04:00::,admire%2:39:00::
37,Hurry . Ends Today . 15 off every 100 and Free Shipping . ,NONE,love%1:12:00::
38,100 rts and the robe comes off ! 😘 legend of zelda cos player HMOT . ,flirt%1:04:00::,flirt%1:04:00::
39,2 weeks from today got 7 are gonna come to save the music industry . 😘 ,appreciation%1:10:00::,appreciation%1:10:00::