id_column,Tweet,Matt label,Elena label
0,Customer service is the worst . 😩 Where the hell is my order ? ! ,frustration%1:12:01::,frustration%1:12:01::
1,Why did I think those feathers you were swinging around were chicken strips in the music video . 😩,frustration%1:12:01::,weary%3:00:00:tired:00
2,How come you boys havent noticed me yet . 😩,sadness%1:26:00::,frustration%1:12:01::
3,Im staying in and away from drinking for awhile now … I have to at this stage . 😩,giving_up%1:10:00::,giving_up%1:10:00::
4,2 hours left . 😩 im ready to be off damn . ,weary%3:00:00:tired:00,weary%3:00:00:tired:00
5,30 minutes until I have to clock in . 😩 Lord I dont wanna go ! ,weary%3:00:00:tired:00,weary%3:00:00:tired:00
6,Aight fuck it im going because if not then Im never gonna go . 😩,weary%3:00:00:tired:00,weary%3:00:00:tired:00
7,Alastair Cook retires from international cricket 😩 He gave it everything and more. Huge respect for a guy .,sadness%1:26:00::,sadness%1:26:00::
8,All I want is to binge some but the app on my fire stick refuses to work for more than 45 seconds . 😩,frustration%1:12:01::,frustration%1:12:01::
9,All of my friends are straight minus Bria and tot 😩 I need more gay friends in Richmond who can drink .  ,sadness%1:26:00::,sadness%1:26:00::
10,Anyone have two cats that didn get along at first ? How long did it take for them to stop hissing and just ignore each other ? 😩,weary%3:00:00:tired:00,weary%3:00:00:tired:00
11,about to take a nap cause Im going to be at work all day . 😩,weary%3:00:00:tired:00,weary%3:00:00:tired:00
12,Bro Im just tryna go home and sleep after this weekend . 😩,weary%3:00:00:tired:00,weary%3:00:00:tired:00
13,Cant wait for the day to can just hop in my car and go about my day . 😩,frustration%1:12:01::,frustration%1:12:01::
14,Cant wait to have a job where Im off weekends and holidays . 😩,frustration%1:12:01::,frustration%1:12:01::
15,Christmas shopping is going really well … The person Ive managed to buy for so far is myself . 😩,frustration%1:12:01::,frustration%1:12:01::
16,Coming with amma to this stupid party was definitely a bad idea ! These aunties are so annoying ! 😩,frustration%1:12:01::,weary%3:00:00:tired:00
17,Counting days to go back to uni 😩 me is so malashhh la .,weary%3:00:00:tired:00,weary%3:00:00:tired:00
18,Damn slept like I was paid to do so today . 😩,weary%3:00:00:tired:00,weary%3:00:00:tired:00
19,Do you ever just not know what the fuck is going on with your life . 😩,sadness%1:26:00::,weary%3:00:00:tired:00
20,Does anyone want to come over and watch scary movies and eat snacks with me ? 😩,NONE,sadness%1:26:00::
21,"Ever think too deep , then just stop before it mess your mind up . 😩",weary%3:00:00:tired:00,weary%3:00:00:tired:00
22,Every time I get paid a part of my check is going to 😩 I hate shopping in stores ...,frustration%1:12:01::,frustration%1:12:01::
23,Everyone else was trying to take pictures with the banner 😩 Dami ..,frustration%1:12:01::,frustration%1:12:01::
24,First time Ive line dryed in 20 years ... its now raining . 😩,frustration%1:12:01::,frustration%1:12:01::
25,"For example , right now I want Waffle House . But I can move right now . 😩",weary%3:00:00:tired:00,weary%3:00:00:tired:00
26,glad I found a nail shop open but this my first time coming . 😩,sadness%1:26:00::,weary%3:00:00:tired:00
27,God continues to bless me and im so thankful . 😩,overjoy%2:37:00::,overjoy%2:37:00::
28,gosh . didnt even notice the time ! ! its fucking 12 no please . 😩,frustration%1:12:01::,weary%3:00:00:tired:00
29,Got a slight headache 😩 so Im going to lay down and stop looking at this computer screen for a few .,weary%3:00:00:tired:00,sadness%1:26:00::
30,"Got everything set up for me to do my hair , just dont feel like it . 😩",giving_up%1:10:00::,weary%3:00:00:tired:00
31,Got paid today and im trying to get new clothes and my nails done 😩 someone lets go . ,frustration%1:12:01::,frustration%1:12:01::
32,Guess Im not doing shit but sitting at the house . 😩,sadness%1:26:00::,sadness%1:26:00::
33,Had the nicest week off Im not ready to go back to work tomorrow . 😩,frustration%1:12:01::,sadness%1:26:00::
34,Half my diet is beans and Ive been gassy all day . 😩,sadness%1:26:00::,frustration%1:12:01::
35,Having a sprained ankle is the worst . Can even walk to the bathroom or kitchen . The two places I frequent most . 😩,frustration%1:12:01::,frustration%1:12:01::
36,Having some uploading issues new video probably isn coming out today 😩 internet problems . ,frustration%1:12:01::,frustration%1:12:01::
37,"He said gotta ride with my gun on safety so I dont go shooting where ya nigga be , 😩 oh shit . ",sadness%1:26:00::,weary%3:00:00:tired:00
38,"Help , I kinda got no sleep over the summer and so I kinda got some heavy under eye bags . 😩",weary%3:00:00:tired:00,sadness%1:26:00::
39,Honestly dont know if I want a middle part or side part . 😩,frustration%1:12:01::,frustration%1:12:01::